Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2005","2005","ha","4016","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2006","2006","ha","4197","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2007","2007","ha","4361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2008","2008","ha","4562","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2009","2009","ha","4703","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2010","2010","ha","4826","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2011","2011","ha","4924","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2012","2012","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2013","2013","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2014","2014","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2015","2015","ha","5021","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2016","2016","ha","5390","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2017","2017","ha","5480","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2018","2018","ha","5585","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2019","2019","ha","5690","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1990","1990","ha","209500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1991","1991","ha","217000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1992","1992","ha","221800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1993","1993","ha","226600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1994","1994","ha","235500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1995","1995","ha","243900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1996","1996","ha","255000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1997","1997","ha","261200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1998","1998","ha","268700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1999","1999","ha","280000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2000","2000","ha","290000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2001","2001","ha","290000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2002","2002","ha","290000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2003","2003","ha","353400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2004","2004","ha","365000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2005","2005","ha","364300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2006","2006","ha","381100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2007","2007","ha","382700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2008","2008","ha","386600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2009","2009","ha","387100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2010","2010","ha","400100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2011","2011","ha","400100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2012","2012","ha","464000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2013","2013","ha","446000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2014","2014","ha","452000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2015","2015","ha","450000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2016","2016","ha","474000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2017","2017","ha","455000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2018","2018","ha","497000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","2019","2019","ha","522000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1990","1990","ha","365000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1991","1991","ha","378600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1992","1992","ha","425000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1993","1993","ha","433000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1994","1994","ha","441000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1995","1995","ha","428000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1996","1996","ha","438000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1997","1997","ha","447000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1998","1998","ha","460000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1999","1999","ha","490000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2000","2000","ha","469700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2001","2001","ha","466200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2002","2002","ha","475300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2003","2003","ha","498600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2004","2004","ha","589600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2005","2005","ha","569500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2006","2006","ha","604200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2007","2007","ha","658000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2008","2008","ha","709000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2009","2009","ha","770300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2010","2010","ha","830000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2011","2011","ha","796500","","Official data"
