Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2004","2004","tonnes","165834","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2005","2005","tonnes","157140","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2006","2006","tonnes","156618","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2007","2007","tonnes","172080","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2008","2008","tonnes","178200","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2009","2009","tonnes","131580","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2010","2010","tonnes","106400","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2011","2011","tonnes","115700","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2012","2012","tonnes","113000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2013","2013","tonnes","108000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2014","2014","tonnes","103934","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2015","2015","tonnes","98543","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2016","2016","tonnes","90384","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2017","2017","tonnes","84245","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2018","2018","tonnes","78106","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","782","Bastfibres, other","2019","2019","tonnes","71967","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1990","1990","tonnes","4084900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1991","1991","tonnes","3529000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1992","1992","tonnes","3870400","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1993","1993","tonnes","3274700","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1994","1994","tonnes","3057400","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1995","1995","tonnes","3440000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1996","1996","tonnes","3507800","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1997","1997","tonnes","2955800","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1998","1998","tonnes","2557600","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","1999","1999","tonnes","2866000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2000","2000","tonnes","2847000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2001","2001","tonnes","3296200","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2002","2002","tonnes","2618800","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2003","2003","tonnes","4230800","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2004","2004","tonnes","2883900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2005","2005","tonnes","2630800","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2006","2006","tonnes","3270000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2007","2007","tonnes","3930000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2008","2008","tonnes","3010000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2009","2009","tonnes","2430000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2010","2010","tonnes","4890000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2011","2011","tonnes","4330000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2012","2012","tonnes","3760000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2013","2013","tonnes","4020000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2014","2014","tonnes","4230000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2015","2015","tonnes","4260000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2016","2016","tonnes","5890000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2017","2017","tonnes","6340000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2018","2018","tonnes","6220000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","176","Beans, dry","2019","2019","tonnes","5310000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1990","1990","tonnes","398084","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1991","1991","tonnes","374000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1992","1992","tonnes","380000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1993","1993","tonnes","385000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1994","1994","tonnes","388000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1995","1995","tonnes","390000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1996","1996","tonnes","400000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","414","Beans, green","1997","1997","tonnes","405349","Im","FAO data based on imputation methodology"
