Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7004","April","%","5.442177","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7004","April","%","6.290323","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7004","April","%","1.289833","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7004","April","%","2.996255","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7004","April","%","1.381818","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7005","May","","","","",""
"CP","Consumer Price Indices","356","India","2001","2001","23014","Food price inflation","7005","May","%","6.157045","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7005","May","%","4.89704","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7005","May","%","5.192585","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7005","May","%","5.835926","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7005","May","%","7.391236","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7005","May","%","7.544189","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7005","May","%","8.45853","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7005","May","%","7.437503","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7005","May","%","5.400423","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7005","May","%","3.669497","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7005","May","%","-1.111987","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7005","May","%","9.944134","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7005","May","%","10.97561","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7005","May","%","8.882784","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7005","May","%","5.130362","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7005","May","%","7.2","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7005","May","%","-0.223881","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7005","May","%","3.29095","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7005","May","%","2.027516","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7006","June","","","","",""
"CP","Consumer Price Indices","356","India","2001","2001","23014","Food price inflation","7006","June","%","5.263514","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7006","June","%","5.561745","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7006","June","%","6.228964","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7006","June","%","7.859832","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7006","June","%","7.987628","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7006","June","%","8.918937","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7006","June","%","7.809185","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7006","June","%","5.650755","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7006","June","%","3.830495","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7006","June","%","3.652827","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7006","June","%","0.54548","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7006","June","%","10.607735","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7006","June","%","12.087912","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7006","June","%","7.308378","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7006","June","%","5.730897","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7006","June","%","7.462687","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7006","June","%","-1.169591","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7006","June","%","3.106509","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7006","June","%","2.367288","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7007","July","","","","",""
"CP","Consumer Price Indices","356","India","2001","2001","23014","Food price inflation","7007","July","%","5.987412","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7007","July","%","6.678765","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7007","July","%","8.391866","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7007","July","%","8.486452","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7007","July","%","9.432351","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7007","July","%","8.21997","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7007","July","%","5.925423","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7007","July","%","4.00627","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7007","July","%","3.813992","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7007","July","%","3.54032","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7007","July","%","2.6888","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7007","July","%","11.437908","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7007","July","%","12.121212","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7007","July","%","8.718396","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7007","July","%","2.806736","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7007","July","%","7.956318","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7007","July","%","0.433526","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7007","July","%","1.726619","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7007","July","%","2.333805","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7008","August","","","","",""
"CP","Consumer Price Indices","356","India","2001","2001","23014","Food price inflation","7008","August","%","7.198583","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7008","August","%","9.001157","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7008","August","%","9.05173","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7008","August","%","10.008484","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7008","August","%","8.676371","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7008","August","%","6.228157","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7008","August","%","4.198952","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7008","August","%","3.990034","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7008","August","%","3.697461","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7008","August","%","3.010549","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7008","August","%","5.200272","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7008","August","%","11.625404","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7008","August","%","12.43973","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7008","August","%","8.576329","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7008","August","%","2.922591","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7008","August","%","5.832694","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7008","August","%","1.957941","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7008","August","%","0.782361","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7008","August","%","2.964008","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7009","September","","","","",""
