CropItem,Year,AreaHarvested(ha)
Carrots and turnips,1992,20500.0
Carrots and turnips,1993,20600.0
Carrots and turnips,1994,20919.0
Carrots and turnips,1995,20800.0
Carrots and turnips,1996,22000.0
Carrots and turnips,1997,23500.0
Carrots and turnips,1998,23592.0
Carrots and turnips,1999,24014.0
Carrots and turnips,2000,24000.0
Carrots and turnips,2001,25056.0
Carrots and turnips,2002,25785.0
Carrots and turnips,2003,26528.0
Carrots and turnips,2004,27263.0
Carrots and turnips,2005,28121.0
Carrots and turnips,2006,28900.0
Carrots and turnips,2007,29683.0
Carrots and turnips,2008,30466.0
Carrots and turnips,2009,31245.0
Carrots and turnips,2010,32019.0
Carrots and turnips,2011,32785.0
Carrots and turnips,2012,34000.0
Carrots and turnips,2013,34000.0
Carrots and turnips,2014,34772.0
Carrots and turnips,2015,35955.0
Carrots and turnips,2016,36445.0
Carrots and turnips,2017,37155.0
Carrots and turnips,2018,390345.0
Carrots and turnips,2019,390345.0
"Cashew nuts, with shell",1990,530869.0
"Cashew nuts, with shell",1991,531849.0
"Cashew nuts, with shell",1992,533549.0
"Cashew nuts, with shell",1993,560000.0
"Cashew nuts, with shell",1994,565000.0
"Cashew nuts, with shell",1995,577000.0
"Cashew nuts, with shell",1996,635000.0
"Cashew nuts, with shell",1997,659000.0
"Cashew nuts, with shell",1998,675000.0
"Cashew nuts, with shell",1999,706000.0
"Cashew nuts, with shell",2000,686000.0
"Cashew nuts, with shell",2001,700000.0
"Cashew nuts, with shell",2002,750000.0
"Cashew nuts, with shell",2003,770000.0
"Cashew nuts, with shell",2004,780000.0
"Cashew nuts, with shell",2005,820000.0
"Cashew nuts, with shell",2006,837000.0
"Cashew nuts, with shell",2007,854000.0
"Cashew nuts, with shell",2008,868000.0
"Cashew nuts, with shell",2009,893000.0
"Cashew nuts, with shell",2010,923000.0
"Cashew nuts, with shell",2011,953200.0
"Cashew nuts, with shell",2012,979000.0
"Cashew nuts, with shell",2013,992000.0
"Cashew nuts, with shell",2014,1011000.0
"Cashew nuts, with shell",2015,1030000.0
"Cashew nuts, with shell",2016,1036000.0
"Cashew nuts, with shell",2017,978000.0
"Cashew nuts, with shell",2018,1062000.0
"Cashew nuts, with shell",2019,1105000.0
Cassava,1990,241600.0
Cassava,1991,247400.0
Cassava,1992,250900.0
Cassava,1993,234900.0
Cassava,1994,245800.0
Cassava,1995,231700.0
Cassava,1996,228200.0
Cassava,1997,256100.0
Cassava,1998,264300.0
Cassava,1999,243400.0
Cassava,2000,223500.0
Cassava,2001,253500.0
Cassava,2002,238900.0
Cassava,2003,207000.0
Cassava,2004,220000.0
Cassava,2005,244700.0
Cassava,2006,244600.0
Cassava,2007,255500.0
Cassava,2008,270000.0
Cassava,2009,280200.0
Cassava,2010,231900.0
Cassava,2011,221400.0
Cassava,2012,226700.0
Cassava,2013,207000.0
Cassava,2014,228280.0
Cassava,2015,208000.0
Cassava,2016,204000.0
Cassava,2017,199000.0
Cassava,2018,173000.0
Cassava,2019,163000.0
Castor oil seed,1990,810000.0
Castor oil seed,1991,711800.0
Castor oil seed,1992,659700.0
Castor oil seed,1993,685000.0
Castor oil seed,1994,779000.0
Castor oil seed,1995,789000.0
Castor oil seed,1996,740000.0
Castor oil seed,1997,641400.0
Castor oil seed,1998,682500.0
Castor oil seed,1999,781700.0
Castor oil seed,2000,1079700.0
Castor oil seed,2001,716700.0
Castor oil seed,2002,583000.0
Castor oil seed,2003,717200.0
Castor oil seed,2004,743000.0
Castor oil seed,2005,864200.0
Castor oil seed,2006,639000.0
Castor oil seed,2007,787000.0
Castor oil seed,2008,866200.0
Castor oil seed,2009,734900.0
Castor oil seed,2010,884680.0
Castor oil seed,2011,1471000.0
Castor oil seed,2012,1234000.0
Castor oil seed,2013,1063190.0
Castor oil seed,2014,1105000.0
Castor oil seed,2015,1089000.0
Castor oil seed,2016,1037000.0
Castor oil seed,2017,807920.0
Castor oil seed,2018,824130.0
Castor oil seed,2019,751320.0
Cauliflowers and broccoli,1990,238632.0
Cauliflowers and broccoli,1991,202787.0
Cauliflowers and broccoli,1992,222436.0
Cauliflowers and broccoli,1993,190000.0
Cauliflowers and broccoli,1994,230000.0
Cauliflowers and broccoli,1995,235000.0
Cauliflowers and broccoli,1996,280000.0
Cauliflowers and broccoli,1997,290000.0
Cauliflowers and broccoli,1998,250000.0
Cauliflowers and broccoli,1999,250000.0
Cauliflowers and broccoli,2000,250000.0
Cauliflowers and broccoli,2001,260000.0
Cauliflowers and broccoli,2002,270000.0
Cauliflowers and broccoli,2003,280000.0
Cauliflowers and broccoli,2004,267900.0
Cauliflowers and broccoli,2005,238500.0
Cauliflowers and broccoli,2006,288600.0
Cauliflowers and broccoli,2007,302000.0
Cauliflowers and broccoli,2008,312000.0
Cauliflowers and broccoli,2009,348900.0
Cauliflowers and broccoli,2010,347900.0
Cauliflowers and broccoli,2011,369000.0
Cauliflowers and broccoli,2012,391000.0
Cauliflowers and broccoli,2013,402000.0
Cauliflowers and broccoli,2014,433870.0
Cauliflowers and broccoli,2015,411000.0
Cauliflowers and broccoli,2016,426000.0
Cauliflowers and broccoli,2017,454000.0
Cauliflowers and broccoli,2018,453000.0
Cauliflowers and broccoli,2019,465000.0
Cherries,1990,1300.0
Cherries,1991,1400.0
Cherries,1992,1445.0
Cherries,1993,1500.0
Cherries,1994,1600.0
Cherries,1995,1625.0
Cherries,1996,1700.0
Cherries,1997,1754.0
Cherries,1998,1828.0
Cherries,1999,2678.0
Cherries,2000,2805.0
Cherries,2001,2860.0
Cherries,2002,2862.0
Cherries,2003,2932.0
Cherries,2004,2998.0
